h&e,orig_size
101269,29
101273,17
101285,26
101286,50
101300,24
101302,11
101305,6
101307,7
101314,18
101326,18
101327,42
101329,56
101336,23
101339,129
101342,54
101343,61
101344,15
101346,13
101351,32
101355,8
101365,23
101377,14
101384,20
101386,19
101387,13
101389,16
101392,27
101400,15
101401,22
101407,16
101410,24
101411,37
101412,74
101413,12
101416,18
101418,13
101424,13
101431,16
101432,11
101438,20
101441,22
101447,10
101448,42
101451,9
101460,23
101461,17
101465,19
101468,15
101478,22
101480,11
101486,61
101487,16
101488,14
101489,23
101492,20
101495,10
101496,20
101499,24
101500,25
101502,16
101505,12
101507,11
101511,11
101514,10
101523,18
101524,17
101528,12
101532,19
101551,13
101554,19
101556,27
101558,22
101561,23
101564,20
101567,53
101577,17
101578,22
101592,10
101594,20
101595,25
101596,16
101603,18
101604,28
101605,15
101619,15
101621,13
101622,16
101623,22
101625,11
101633,17
101639,10
101640,16
101649,26
101651,15
101654,14
101657,20
101662,15
101668,21
101671,12
101678,21
101680,6
101681,24
101685,24
101686,40
101687,19
101688,21
101689,11
101692,27
101696,25
101699,12
101701,17
101702,16
101708,18
101709,5
101712,15
101716,22
101718,22
101723,20
101724,19
101727,24
101730,20
101735,11
101736,13
101744,22
101748,16
101758,19
101759,21
101760,21
101764,19
101767,23
101773,19
101774,22
101775,22
101776,22
101778,20
101782,23
101783,15
101791,17
101792,27
101796,17
101807,26
101811,19
101813,21
101820,11
101821,17
101823,26
101824,27
101830,19
101835,25
101839,18
101840,16
101844,31
101845,19
101847,29
101855,17
101862,21
101863,23
101865,14
101869,20
101876,28
101881,19
101882,20
101884,16
101885,23
101888,20
101893,6
101895,17
101898,29
101899,18
101907,12
101909,19
101922,14
101924,41
101925,27
101928,13
101935,25
101937,28
101938,18
101939,9
101941,16
101947,7
101949,27
101955,11
101959,13
101961,21
101970,27
101971,51
101980,19
101981,12
101991,12
101995,17
101999,19
102003,16
102006,23
102011,8
102016,19
102018,20
102023,15
102025,31
102027,11
102032,23
102034,44
102040,18
102053,15
102064,23
102074,21
102077,19
102079,12
102083,15
102088,17
102091,18
102098,43
102104,24
102107,17
102108,10
102114,19
102118,15
102119,11
102121,15
102125,11
102130,17
102131,16
102139,17
102143,13
102144,19
102145,17
102149,23
102154,18
102159,17
102160,19
102161,16
102164,24
102168,48
102172,18
102180,24
102184,15
102187,23
102188,16
102190,20
102191,12
102193,16
102203,26
102215,35
102218,56
102219,15
102223,114
102225,21
102226,30
102228,39
102230,23
102231,37
102232,23
102233,37
102234,36
102236,7
102237,28
102238,24
102239,60
102240,41
102241,39
102242,84
102243,35
102244,18
102247,38
102250,7
102253,29
102255,19
102258,38
102259,39
102263,113
102264,41
102266,16
102267,47
102268,46
102269,48
102270,13
102271,36
102279,24
102284,50
102286,28
102287,41
102289,16
102291,43
102292,35
102295,28
102296,39
102297,30
102298,27
102299,38
102306,20
102309,39
102310,5
102311,22
102312,46
102313,11
102316,22
102319,11
102321,17
102322,25
102325,32
102326,12
102327,27
102330,25
102333,26
102335,9
102336,18
102337,12
102339,9
102340,37
102341,29
102342,23
102344,35
102346,26
102347,20
102348,25
102349,13
102353,19
102354,15
102355,19
102356,13
102361,19
102363,12
102365,9
102366,6
102367,34
102368,17
102369,13
102370,41
102371,31
102372,14
102374,15
102376,10
102377,15
102378,13
102379,16
102381,11
102384,12
102385,17
102387,30
102388,23
102390,18
102395,19
102397,39
102398,21
102402,44
102403,45
102404,19
102405,17
102407,10
102408,12
102409,10
102410,30
102411,37
102413,13
102416,15
102417,20
102418,24
102419,23
102420,35
102423,16
102425,12
102430,15
102432,57
102435,22
102438,15
102442,45
102444,49
102448,22
102450,20
102453,15
102455,14
102458,19
102459,20
102462,20
102464,21
102465,25
102466,17
102467,89
102474,36
102476,15
102477,8
102479,22
102480,9
102481,47
102482,16
102483,11
102487,31
102488,19
102489,24
102492,14
102493,10
102494,27
102500,18
102501,16
102504,15
102505,19
102508,25
102509,7
102510,14
102516,15
102517,20
102519,14
102520,16
102521,15
102524,35
102526,51
102531,8
102532,22
102535,17
102538,15
102541,9
102544,9
102547,17
102548,74
102552,15
102553,12
102554,32
102555,24
102557,31
102560,24
102561,17
102563,10
102565,17
102566,20
102568,23
102569,29
102572,8
102575,22
102576,38
102577,13
102579,19
102581,47
102585,28
102586,26
102588,16
102593,19
102594,29
102597,49
102598,20
102599,19
102600,44
102604,36
102605,20
102606,42
102608,14
102609,22
102610,24
102611,18
102613,19
102614,21
102616,18
102617,51
102618,17
102620,6
102621,11
102623,19
102630,165
102632,16
102633,20
102634,18
102638,20
102643,20
102644,42
102645,23
102646,17
102647,40
102648,89
102649,23
102650,6
102651,41
102652,13
102654,24
102656,19
102658,61
102659,42
102661,21
102662,13
102663,16
102665,18
102667,30
102668,14
102669,17
102670,30
102673,48
102680,30
102682,56
102683,48
102685,16
102686,15
102687,29
102689,32
102691,11
102692,19
102693,18
102694,27
102695,28
102697,16
102698,20
102699,81
102700,19
102701,27
102703,46
102704,14
102705,29
102707,43
102710,18
102713,18
102714,31
102715,20
102717,14
102719,37
102720,9
102723,17
102725,43
102726,99
102727,7
102728,42
102729,21
102730,27
102731,14
102732,19
102733,25
102735,11
102736,5
102738,11
102741,15
102742,31
102744,101
102746,12
102749,17
102751,108
102752,16
102753,18
102754,57
102757,12
102758,166
102760,26
102761,16
102762,19
102763,16
102764,22
102765,11
102766,13
102767,17
102768,20
102771,24
102772,15
102775,22
102776,37
102777,19
102778,49
102779,13
102781,13
102782,24
